Initialisation Type,Elitism(Y/N),Maximum Fitness,Time,Fitness Change per Time
Random,N,-4.635000000000002,97.18482375144958,0.03786599448296175
Random,N,-4.895,84.58081912994385,0.043981602900828635
Random,N,-5.285,80.48957371711731,0.03733402801412701
Random,N,-4.83,78.95893812179565,0.04793630828927264
Random,N,-5.140000000000001,84.65049505233765,0.04471326479142045
Random,N,-5.640000000000001,85.72550892829895,0.0372117942474757
Random,N,-4.93,80.27076005935669,0.0485232729467096
Random,N,-5.000000000000001,86.84343886375427,0.034544924052427234
Random,N,-5.1000000000000005,72.32807803153992,0.055856592763854275
Random,N,-4.49,84.2023458480835,0.04144777636357781
Random,N,-5.175,71.54502892494202,0.05255431518442213
Random,N,-5.36,80.595370054245,0.047769493426343776
Random,N,-5.12,86.2655611038208,0.03535593997156429
Random,N,-4.82,93.02829003334045,0.04428760324975801
Random,N,-5.0649999999999995,86.77712488174438,0.040506066602115136
Random,N,-4.535,107.56597685813904,0.040161397926942406
Random,N,-4.615,130.14681100845337,0.02889045049099036
Random,N,-4.815,111.87670493125916,0.032982737579438544
Random,N,-4.91,79.03259181976318,0.0492834653440532
Random,N,-5.1850000000000005,100.21784996986389,0.029984678387169773
Random,N,-4.705,84.5885021686554,0.052312074177378
Random,N,-4.9350000000000005,80.43418884277344,0.04115165513100572
Random,N,-4.645000000000001,85.266685962677,0.044800615350197755
Random,N,-4.535,88.4717390537262,0.03662186405121354
Random,N,-4.75,79.91235780715942,0.041170102976303934
Random,N,-4.975,79.92774200439453,0.04998264557230143
Random,N,-4.6850000000000005,79.23667526245117,0.0540784931448352
Random,N,-5.1,82.70158219337463,0.037302792983894634
Random,N,-4.87,83.53526091575623,0.04800368079347966
Random,N,-5.345000000000001,83.24186992645264,0.04709168599243949
Random,Y,-4.74,86.9669439792633,0.04656941838689533
Random,Y,-4.97,87.60453009605408,0.047942726196863385
Random,Y,-5.035,78.59823608398438,0.051782332565976336
Random,Y,-4.640000000000001,79.50197410583496,0.04892960261366011
Random,Y,-5.65,85.71821880340576,0.031206901372216985
Random,Y,-5.140000000000001,83.4700710773468,0.039954440639084286
Random,Y,-4.75,82.22567701339722,0.04627508265307495
Random,Y,-4.775,83.20495271682739,0.045790543418330255
Random,Y,-4.75,82.77147912979126,0.052614741765953786
Random,Y,-4.775,81.76598715782166,0.04983734853142036
Random,Y,-4.765000000000001,76.33198595046997,0.05777394554966178
Random,Y,-4.755000000000001,69.21099901199341,0.05447111086124772
Random,Y,-4.615,64.66385817527771,0.0744619967919092
Random,Y,-4.585000000000001,64.45854711532593,0.07392347816147185
Random,Y,-4.9350000000000005,64.75449895858765,0.06756287316496631
Random,Y,-4.465,64.56539511680603,0.060094110676170175
Random,Y,-4.92,64.83668184280396,0.05961131708391036
Random,Y,-4.515000000000001,64.46743702888489,0.06158147714513956
Random,Y,-4.755,64.41203784942627,0.05433766911989067
Random,Y,-4.91,64.64779305458069,0.06249246585400243
Random,Y,-5.02,64.80384802818298,0.06650839620087982
Random,Y,-5.135000000000001,64.64661812782288,0.06117876100154155
Random,Y,-4.74,63.96532869338989,0.0655042362102798
Random,Y,-4.6000000000000005,64.75336170196533,0.06532479378397456
Random,Y,-5.63,64.57863593101501,0.038247943215129775
Random,Y,-4.83,64.30595898628235,0.06585703823969727
Random,Y,-4.735,64.53130793571472,0.06392246077065837
Random,Y,-4.985,64.1732120513916,0.06100676395728428
Random,Y,-4.88,64.48423194885254,0.05978205653527362
Random,Y,-5.5,64.82019186019897,0.056541023635111945
Heuristic,N,-4.574999999999999,258.029990196228,0.0015502073991314196
Heuristic,N,-4.715,261.3019540309906,0.001645605757502301
Heuristic,N,-4.625,259.77001094818115,0.001982522917561611
Heuristic,N,-4.62,273.8358588218689,0.0008764374433376167
Heuristic,N,-4.72,261.1965277194977,0.0007657069630526741
Heuristic,N,-4.720000000000001,263.0096607208252,0.0013687710140127735
Heuristic,N,-4.515000000000001,259.5949864387512,0.0015793833526008233
Heuristic,N,-4.98,265.52515387535095,0.00011298364603936375
Heuristic,N,-4.575,254.51240420341492,0.0006482984611945532
Heuristic,N,-4.630000000000001,252.34342122077942,0.0009114562958975212
Heuristic,N,-4.625,258.66124176979065,0.0007732120925097852
Heuristic,N,-4.505000000000001,255.184739112854,0.00035268566730472806
Heuristic,N,-4.615,262.21735429763794,0.0004004311624653833
Heuristic,N,-4.265000000000001,256.0984661579132,0.0007028546586023271
Heuristic,N,-4.6499999999999995,257.1716380119324,0.001185978369768163
Heuristic,N,-4.630000000000001,260.1345326900482,0.0005381830645560988
Heuristic,N,-4.68,274.7771761417389,0.001255562797624933
Heuristic,N,-4.659999999999999,276.24201917648315,0.0015747061265219478
Heuristic,N,-4.540000000000001,254.8657829761505,0.0015498353501496177
Heuristic,N,-4.825000000000001,255.13608622550964,0.0017637646114954252
Heuristic,N,-4.659999999999999,260.7134702205658,0.0011506885307698072
Heuristic,N,-4.66,254.70886874198914,0.0018648742085269024
Heuristic,N,-4.6,261.1890060901642,0.0008423019149743779
Heuristic,N,-4.775,266.58013820648193,0.0009378043003577389
Heuristic,N,-4.700000000000001,259.2340488433838,0.0015815823647753215
Heuristic,N,-4.555000000000001,252.77927780151367,0.0
Heuristic,N,-4.635000000000001,261.5925121307373,0.00043961502973955633
Heuristic,N,-4.7,256.1698820590973,0.0009954331787574173
Heuristic,N,-4.835,263.4601151943207,0.0014992781723664654
Heuristic,N,-4.655,264.9186637401581,0.0012645390674647949
Heuristic,Y,-4.52,286.88763189315796,0.0012722751329200999
Heuristic,Y,-4.465,279.28569197654724,0.001450127993073167
Heuristic,Y,-4.805,925.6742839813232,0.00011343082747032318
Heuristic,Y,-4.6000000000000005,304.23613595962524,0.0013805066208694443
Heuristic,Y,-4.745,292.0311999320984,0.0011300162451023383
Heuristic,Y,-4.4799999999999995,311.0475277900696,0.0006590632674578192
Heuristic,Y,-4.525,329.4760251045227,0.0015479123248442973
Heuristic,Y,-4.345000000000001,322.9021911621094,0.0015949102053056364
Heuristic,Y,-4.824999999999999,311.9657213687897,0.000368630244039066
Heuristic,Y,-4.385000000000001,310.9898011684418,0.0019614791150967853
Heuristic,Y,-4.760000000000001,336.6137809753418,0.0015447971217734861
Heuristic,Y,-4.3100000000000005,305.37600588798523,0.001129754772306993
Heuristic,Y,-4.505,295.070898771286,0.0009997597229290302
Heuristic,Y,-4.635,290.7070610523224,0.0009115705653682248
Heuristic,Y,-4.430000000000001,296.41828632354736,0.000860270812447993
Heuristic,Y,-4.48,284.85040616989136,0.0026329609639126955
Heuristic,Y,-4.24,305.0330991744995,0.0031471994435948577
Heuristic,Y,-4.55,374.972736120224,0.0009067325894621569
Heuristic,Y,-4.285,313.6611351966858,0.0012752615964013983
Heuristic,Y,-4.865,280.1252181529999,0.0011958937585441853
Heuristic,Y,-4.609999999999999,279.72578382492065,0.0012869746759752508
Heuristic,Y,-4.445,3204.31747508049,0.00023717999415176863
Heuristic,Y,-4.51,285.1598529815674,0.0021216170287445984
Heuristic,Y,-4.49,290.92812275886536,0.0017530103145879453
Heuristic,Y,-4.26,2938.946435689926,0.0002960244492498775
Heuristic,Y,-4.420000000000001,291.35097575187683,0.0026943448463633383
Heuristic,Y,-4.635,306.32927918434143,0.00016322305243930647
Heuristic,Y,-4.345000000000001,286.50705885887146,0.0025479302426527134
Heuristic,Y,-4.440000000000001,299.75989818573,0.0023352022876865345
Heuristic,Y,-4.665,280.5780930519104,0.0011761431422193994
